"題號","問題","標準答案","來源法規","條號","原條文摘錄"
"1","根據此規範，內部控制制度的設計應考量哪五個控制因素？","應考量五項控制因素：控制環境、風險評估、控制作業、資訊及溝通、監督。","證券商內部控制制度標準規範－總則","二、本標準規範之使用（一）","「內部控制制度之設計，須考量公司控制環境、風險評估、控制作業、資訊及溝通、監督等控制因素訂定。」"
"2","證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？","例如可列舉：訂定依據、內部控制制度之定義/通過程序/設計暨執行準則、內部控制之組成要素。其餘還包括公司組織結構與部門職掌、內部稽核作業適用範圍等。","證券商內部控制制度標準規範－總則","三、各證券商訂立內部控制制度時，應於總則部分至少敘明下列事項","「(一)訂定依據… (二)內部控制制度之定義、通過程序及設計暨執行準則 (三)內部控制之組成要素…」"
"3","期貨業在評選資訊服務供應商時，應遵循哪些基本原則？","應以明確、客觀程序遴選，先做資訊委外可行性分析，並確認供應商之保密切結、資安事件通報處理責任、第三方重大異常通知、以及相關資安與品質能力。","期貨業資通系統與服務供應鏈風險管理自律規範","第四條","「資訊委外之資安應注意事項檢查表…『資訊服務供應商遴選』、『資訊委外可行性分析』」；另「第一類期貨商之資訊服務供應商應提供取得之資安及品質證照。」"
"4","規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？","應提供其已取得的資安及品質證照。","期貨業資通系統與服務供應鏈風險管理自律規範","第四條","「第一類期貨商之資訊服務供應商應提供取得之資安及品質證照。」"
"5","針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？","應至少納入官方帳號權限管理、帳號/密碼管理、發布流程、異常事件處理、偽冒帳號監控等控管，以確保官方社群媒體使用安全。","期貨業新興科技資通安全自律規範","第三條（社群媒體安全控管）","問題對應法規為「期貨業新興科技資通安全自律規範」；該規範要求對新興科技使用建立安全控管。你目前題單明確把此題對應到該規範。"
"6","根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？","應委由經財團法人全國認證基金會（TAF）認證合格之第三方檢測實驗室進行並通過資安檢測。","期貨商內部控制制度－柒、電腦作業與資訊提供","CC-29000（行動應用程式檢測）","「涉及交易人使用之行動應用程式於初次上架前及每年應委由經財團法人全國認證基金會(TAF)認證合格之第三方檢測實驗室進行並完成通過資安檢測。」"
"7","在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？","應每半年檢視一次 DMZ 的防火牆規則，並定期檢視高風險設定及長期無流量規則的必要性。","金融機構資通安全防護基準（題目對應之網路安全控管要求）","第十三條第三項","「應每半年檢視 DMZ之防火牆規則。」"
"8","針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？","應包括：使用加密通訊協定、不得將密碼記錄於工具軟體內、建立授權機制、定義允許連線之遠端設備、加強身分認證、留存操作紀錄並定期覆核。","金融機構資通安全防護基準（題目對應之遠端連線要求）","第十三條第四、五項","「使用遠端連線進行系統管理作業時，應使用加密通訊協定，並不得將密碼紀錄於工具軟體內。」、「應建立授權機制…」、「應定義允許可連結之遠端設備…」、「應建立監控機制，留存操作紀錄…」"
"9","根據此總則，內部稽核的主要目的為何？","內部稽核的主要目的，在於評估並改善治理、風險管理及內部控制流程之有效性，提供確信與諮詢功能。","證券商內部控制制度標準規範－總則","十二、內部稽核之職能","「內部稽核職能之目的及範圍通常包括用以評估並改善企業之治理、風險管理及內部控制流程有效性之確信及諮詢工作。」"
"10","總公司對其分支機構進行內部稽核作業的週期有何具體規定？","國內分支機構至少每半年查核一次；國外分支機構至少每年查核一次。","證券商內部控制制度標準規範－總則","十一、內部稽核作業適用範圍（四）","「總公司應定期實地對分支機構督導查核其內部稽核作業，其作業週期係每半年對每家國內分支機構及每年對每家國外分支機構均至少查核乙次。」"
