id,question,response_relevancy,faithfulness,context_precision,context_recall,consistency,overall_score,retrieved_context_count,missing_inputs
根據此規範，內部控制制度的設計應考量哪五個控制因素？,根據此規範，內部控制制度的設計應考量哪五個控制因素？,0.8032031059265137,0.8164348006248474,1.0,0.6884375810623169,,0.8270188719034195,5,
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,0.8422436714172363,0.7703824043273926,1.0,0.6413343548774719,,0.8134901076555252,5,
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,0.8156473636627197,0.8592404127120972,1.0,0.800786018371582,,0.8689184486865997,5,
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,0.8573554754257202,0.8954166173934937,1.0,0.7660045623779297,,0.8796941637992859,5,
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,0.8290831446647644,0.7888795584440231,1.0,0.7657313346862793,,0.8459235094487667,5,
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,0.780834436416626,0.9102743864059448,1.0,0.8326678276062012,,0.880944162607193,5,
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,0.8180811405181885,0.7172785997390747,1.0,0.8575016260147095,,0.8482153415679932,5,
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,0.8234809637069702,0.9139564037322998,0.95,0.7714177370071411,,0.8647137761116028,5,
根據此總則，內部稽核的主要目的為何？,根據此總則，內部稽核的主要目的為何？,0.7190495729446411,0.8575631678104401,1.0,0.8986986875534058,,0.8688278570771217,5,
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,總公司對其分支機構進行內部稽核作業的週期有何具體規定？,0.7538647651672363,0.7830015271902084,1.0,0.7616879343986511,,0.824638556689024,5,
在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,0.8380352258682251,0.6816604286432266,1.0,0.7236701846122742,,0.8108414597809315,5,
針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,0.8629856705665588,0.8315160274505615,1.0,0.7980450987815857,,0.8731366991996765,5,
在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,0.7586387395858765,0.6732035974661509,1.0,0.6328588724136353,,0.7661753023664156,5,
零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,0.791692852973938,0.8485863208770752,1.0,0.6970399618148804,,0.8343297839164734,5,
根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,0.7895145416259766,0.664907231926918,1.0,0.7954241335391998,,0.8124614767730236,5,
在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,0.782129168510437,0.715557595094045,0.8875,0.6305475831031799,,0.7539335866769155,5,
期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,0.8083354830741882,0.7229665517807007,1.0,0.6852143406867981,,0.8041290938854218,5,
根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,0.7136330604553223,0.7315522879362106,1.0,0.8166255950927734,,0.8154527358710766,5,
取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,0.7834614515304565,0.724713671207428,0.4777777777777777,0.7124355435371399,,0.6745971110132005,5,
針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,0.7865128517150879,0.7729227542877197,1.0,0.6716729998588562,,0.807777151465416,5,
根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,0.7663968801498413,0.699277713894844,1.0,0.8174351453781128,,0.8207774348556995,5,
在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,0.8453006148338318,0.8595255017280579,1.0,0.862539529800415,,0.8918414115905762,5,
針對「資訊安全政策」，規範要求公司應至少多久評估一次？,針對「資訊安全政策」，規範要求公司應至少多久評估一次？,0.8135814070701599,0.8244459927082062,1.0,0.8079162836074829,,0.8614859208464622,5,
在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,0.7442964315414429,0.701761931180954,1.0,0.6577475666999817,,0.7759514823555946,5,
在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,0.7903645038604736,0.7864806056022644,1.0,0.7003251910209656,,0.8192925751209259,5,
針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,0.7613527774810791,0.774898091952006,1.0,0.7419258058071136,,0.8195441688100497,5,
根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,0.7992267608642578,0.809422105550766,1.0,0.6535208523273468,,0.8155424296855927,5,
針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,0.8487141132354736,0.9303401112556458,1.0,0.6342151761054993,,0.8533173501491547,5,
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,0.8587591648101807,0.8151508569717407,1.0,0.8745865225791931,,0.8871241360902786,5,
