問題,標準答案,LLM答案,LLM答案路徑
根據此規範，內部控制制度的設計應考量哪五個控制因素？,應考量五項控制因素：控制環境、風險評估、控制作業、資訊及溝通、監督。,"根據提供的參考資料，內部控制制度的設計應考量以下五個控制因素：

1. 控制環境：包括企業的誠信與道德價值、董事會及監察人治理監督責任、組織結構、權責分派、人力資源政策、績效衡量及獎懲等。
2. 風險評估：確立各項目標並考慮外部環境和商業模式變化，以及可能發生的舞弊情事。
3. 控制作業：根據風險評估結果採用適當的政策與程序來控制風險。

因此，內部控制制度設計應考量上述三個因素。資料中未提及「合規性」和「資訊及溝通」這兩個因素。",~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (一) | p.7-7 | leaf | context=五、 > (一) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (二) | p.7-7 | leaf | context=五、 > (二) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (三) | p.7-8 | leaf | context=五、 > (三)
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,例如可列舉：訂定依據、內部控制制度之定義/通過程序/設計暨執行準則、內部控制之組成要素。其餘還包括公司組織結構與部門職掌、內部稽核作業適用範圍等。,"證券商在訂定內部控制制度的「總則」部分至少應敘明以下三項事項：

1. 內部控制之組成要素
2. 稽核人員應注意事項
3. 自行評估及內部控制制度聲明書",~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (三) | p.3-4 | leaf | context=三、 > (三) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (十二) | p.4-4 | leaf | context=三、 > (十二) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (十四) | p.4-5 | leaf | context=三、 > (十四)
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,應以明確、客觀程序遴選，先做資訊委外可行性分析，並確認供應商之保密切結、資安事件通報處理責任、第三方重大異常通知、以及相關資安與品質能力。,"根據提供的參考資料，期貨業在評選資訊服務供應商時應遵循的基本原則如下：

1. 資訊服務供應商應該具有完善的資通安全管理措施（包括提供管理措施與執行情形的說明），或者通過第三方驗證。

2. 選擇資訊服務供應商時，還需要考慮其維運能力，如財務能力、專業能力和經驗表現等。

這些是期貨業在選擇資訊服務供應商時的基本評選原則。",「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (三) | p.3-3 | leaf | context=第三條 > 二、 > (三) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (一) | p.3-3 | leaf | context=第三條 > 二、 > (一) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (二) | p.3-3 | leaf | context=第三條 > 二、 > (二)
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,應提供其已取得的資安及品質證照。,第一類期貨商的資訊服務供應商應提供的資安證明包括取得的資安及品質證照。具体来说，根据参考资料1中的内容，“第一類期貨商之資訊服務供應商應提供取得之資安及品質證照。”,「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第四條 > 一、 > (五) > 7. | p.5-5 | leaf | context=第四條 > 一、 > (五) > 7. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 四、 > (二) | p.3-3 | leaf | context=第三條 > 四、 > (二) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 四、 > (三) | p.3-3 | leaf | context=第三條 > 四、 > (三)
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,應至少納入官方帳號權限管理、帳號/密碼管理、發布流程、異常事件處理、偽冒帳號監控等控管，以確保官方社群媒體使用安全。,"期貨業經營官方社群媒體的資安控管項目包括：

- 建立帳號權限管理機制，對發布內容進行控管；
- 檢視所經營之社群媒體隱私政策及評估其風險。",「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 三、 > （三） | p.3-3 | leaf | context=第五條 > 三、 > （三） || 「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 三、 > （一） | p.3-3 | leaf | context=第五條 > 三、 > （一） || 「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 二、 | p.3-3 | leaf | context=第五條 > 二、
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,應委由經財團法人全國認證基金會（TAF）認證合格之第三方檢測實驗室進行並通過資安檢測。,"根據提供的參考資料，金融機構在行動應用程式（App）初次上架前及每年均需委由合格實驗室進行資安檢測。具體來說：

- 初次上架前：需要由合格實驗室依據「行動應用 APP 基本資安檢測基準」完成並通過檢測。
- 每年：需依「附件1_金融機構提供行動裝置應用程式作業規範」中第三條規定，由評估單位對應用程式及其應用伺服器進行檢測。

因此，初次上架前及每年都需要委由合格實驗室或評估單位完成資安檢測。",附件1_金融機構提供行動裝置應用程式作業規範.md | 第九條 > 一、 | p.2-2 | leaf | context=第九條 > 一、 || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第九條 > 三、 | p.2-2 | leaf | context=第九條 > 三、 || 保險業辦理資訊安全防護自律規範-2.md | 五、 > (三) > 1. | p.1-2 | leaf | context=五、 > (三) > 1.
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,應每半年檢視一次 DMZ 的防火牆規則，並定期檢視高風險設定及長期無流量規則的必要性。,"根據提供的資料，期貨業在處理DMZ區的防火牆規則方面需要做到以下幾點：

1. 每半年需檢查DMZ區的防火牆規則；
2. 保留相關的檢視記錄；
3. 根據權責主管核准後設定防火牆系統；
4. 每年至少進行一次對外網路設備規則的審查，並保留紀錄；
5. 設定防火牆時遵循最小授權和正面列舉原則；
6. 定期檢查DMZ區的防火牆規則，評估高風險設定及確認六个月内無流量的必要性；
7. 根据需要在六个月内調整或停用不必要な防火牆規則。",「網路安全防護自律規範」完整條文.md | 第三條 > 二、 > (二) | p.2-2 | leaf | context=第三條 > 二、 > (二) || 金融機構資通安全防護基準.md | 第十三條 > 一、 | p.6-6 | leaf | context=第十三條 > 一、 || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (1) > b. | p.3-3 | leaf | context=第7條 > 7、 > (1) > b.
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,應包括：使用加密通訊協定、不得將密碼記錄於工具軟體內、建立授權機制、定義允許連線之遠端設備、加強身分認證、留存操作紀錄並定期覆核。,"針對遠端連線管理，期貨業應訂定的管理辦法中至少包括以下安控措施：

1. 使用限制：設定使用遠端連線的時間和頻率等條件。
2. 需求組態需求：建立對於遠端使用的設備、環境等的需求標準化規範。
3. 連線需求：制定連接外部網路或內部網路所需的機制與規定。

加密連線：保障傳輸資料的安全性，使用強化的安全協定如TLS/SSL等來保護數據。

最小授權原則：賦予使用者最少量權限的程式碼，以降低遭到破壞的可能性。

操作稽核記錄：保留所有遠端連接及操作行為的完整紀錄，定期由權責主管審閱。

異常偵測和警報機制：監控網路流量，設定異常連線和操作模式並採取相應行動。

安全性更新執行：持續檢討及修訂安全方案，以便跟上不斷發展的新挑戰。

物聯網設備資訊安全辦法中的設備連線控制措施包括：

1. 設定使用遠端連接的設備與環境條件。
2. 委托或設定安全的設備連線機制以防止惡意連接。
3. 監控網路流量並設置異常警告及連線中斷機制。",「網路安全防護自律規範」完整條文.md | 第五條 > 三、 > (一) | p.4-4 | leaf | context=第五條 > 三、 > (一) || 「網路安全防護自律規範」完整條文.md | 第五條 > 三、 > (二) | p.4-4 | leaf | context=第五條 > 三、 > (二) || 「新興科技資通安全自律規範」完整條文-114.05.md | 第七條 > 四、 | p.4-4 | leaf | context=第七條 > 四、
根據此總則，內部稽核的主要目的為何？,內部稽核的主要目的，在於評估並改善治理、風險管理及內部控制流程之有效性，提供確信與諮詢功能。,根據提供的參考資料，內部稽核的主要目的為協助董事會及經理人檢查及覆核內部控制制度的缺失，并衡量營運的效果及效率。同時適時提供改進建議，以確保內部控制制度得以持續有效實施並作為檢討修正內部控制制度的依據。,1.FCM內控-總則---114.04.md | 十一、 | p.9-9 | leaf | context=十一、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十、 | p.14-15 | leaf | context=十、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十二、 > (三) > 4. | p.20-20 | leaf | context=十二、 > (三) > 4.
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,國內分支機構至少每半年查核一次；國外分支機構至少每年查核一次。,"根據提供的參考資料，總公司對其分支機構進行內部稽核作業的週期規定如下：

- 每半年至少查核一次每家國內分支機構；
- 每年至少查核一次每家國外分支機構。

其中，分公司自行查核的部分，則是每年由總公司指派內部稽核人員依「查核分支機構財務業務作業報告表」項目進行實際檢查，受查期間應含括前一次查核日至本次查核日前三日止。",~內部控制制度總則(114.04.11修)--FOREWORD.md | 十一、 > (四) | p.18-18 | leaf | context=十一、 > (四) || 1.FCM內控-總則---114.04.md | 十四、 > (四) | p.11-11 | leaf | context=十四、 > (四) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十五、 > (三) > 2. > (2) > iv. | p.29-29 | leaf | context=十五、 > (三) > 2. > (2) > iv.
