id,question,response_relevancy,faithfulness,context_precision,context_recall,consistency,overall_score,retrieved_context_count,missing_inputs
根據此規範，內部控制制度的設計應考量哪五個控制因素？,根據此規範，內部控制制度的設計應考量哪五個控制因素？,0.7771313190460205,0.6873885869979859,1.0,0.7424290180206299,,0.801737231016159,5,
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,0.8403025269508362,0.9397799372673035,1.0,0.6832238733768463,,0.8658265843987465,5,
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,0.8398787379264832,0.8116902311642965,1.0,0.7913463115692139,,0.8607288201649984,5,
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,0.8286054730415344,0.6423879166444143,1.0,0.6578137278556824,,0.7822017793854078,5,
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,0.8132240772247314,0.7582270205020905,1.0,0.7394659519195557,,0.8277292624115944,5,
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,0.7982362508773804,0.8154504746198654,1.0,0.7256016731262207,,0.8348220996558666,5,
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,0.7664735317230225,0.6297740510531834,1.0,0.6489410400390625,,0.7612971557038171,5,
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,0.8020660281181335,0.6512388966300271,1.0,0.7297571897506714,,0.7957655286247081,5,
根據此總則，內部稽核的主要目的為何？,根據此總則，內部稽核的主要目的為何？,0.7335704565048218,0.8080125749111176,1.0,0.8819282650947571,,0.8558778241276741,5,
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,總公司對其分支機構進行內部稽核作業的週期有何具體規定？,0.7880769968032837,0.7848709026972452,1.0,0.7057746052742004,,0.8196806261936823,5,
在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,0.8126223087310791,0.7110284566879272,1.0,0.644828200340271,,0.7921197414398193,5,
針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,0.8464398384094238,0.611955722173055,1.0,0.6345475912094116,,0.7732357879479727,5,
在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,0.7732310891151428,0.626757450401783,0.2,0.5295342206954956,,0.5323806900531054,5,
零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,0.8074218034744263,0.5041743963956833,1.0,0.596131294965744,,0.7269318737089634,5,
根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,0.7236654162406921,0.7889832258224487,1.0,0.7537374198436737,,0.8165965154767036,5,
在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,0.7892850637435913,0.656634658575058,1.0,0.6090232133865356,,0.7637357339262962,5,
期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,0.7655692100524902,0.5820001363754272,1.0,0.6348330974578857,,0.7456006109714508,5,
根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,0.7386879920959473,0.4637148976325989,0.0,0.4920748472213745,,0.42361943423748016,5,
取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,0.7162559032440186,0.5220302045345306,1.0,0.6136636137962341,,0.7129874303936958,5,
針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,0.7962358593940735,0.6606252938508987,1.0,0.6398756802082062,,0.7741842083632946,5,
根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,0.7660171985626221,0.6463883817195892,0.7,0.5679347515106201,,0.6700850829482079,5,
在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,0.7333791851997375,0.57289257645607,1.0,0.569304347038269,,0.7188940271735191,5,
針對「資訊安全政策」，規範要求公司應至少多久評估一次？,針對「資訊安全政策」，規範要求公司應至少多久評估一次？,0.7828966379165649,0.7798792719841003,1.0,0.7349981665611267,,0.824443519115448,5,
在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,0.7473604679107666,0.8505862355232239,1.0,0.6569435000419617,,0.813722550868988,5,
在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,0.7617021799087524,0.655538484454155,1.0,0.6160286664962769,,0.7583173327147961,5,
針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,0.7843410968780518,0.6149836281935374,1.0,0.6285899579524994,,0.7569786707560221,5,
根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,0.7817875146865845,0.740538756052653,1.0,0.6789231151342392,,0.8003123464683691,5,
針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,0.8508774042129517,0.9181735515594482,1.0,0.6372493803501129,,0.8515750840306282,5,
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,0.7790935039520264,0.7976648956537247,1.0,0.8141438364982605,,0.8477255590260029,5,
針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,0.8066819906234741,0.7675694227218628,1.0,0.7428808212280273,,0.8292830586433411,5,
證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,0.8187968730926514,0.7511278986930847,1.0,0.7427605092525482,,0.8281713202595711,5,
證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,0.8222797513008118,0.7908440828323364,1.0,0.7717903852462769,,0.8462285548448563,5,
證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,0.7522817850112915,0.7759061455726624,1.0,0.6645917892456055,,0.7981949299573898,5,
針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,0.7384638786315918,0.6462442676226298,1.0,0.7059962749481201,,0.7726761053005854,5,
根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,0.8214939832687378,0.7177311301231384,1.0,0.7671312391757965,,0.8265890881419182,5,
對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,0.8198823928833008,0.7634966572125753,1.0,0.8592861294746399,,0.860666294892629,5,
金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,0.7948613166809082,0.682447075843811,1.0,0.6196671575307846,,0.774243887513876,5,
針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,0.8467867970466614,0.836917832493782,1.0,0.6951167980829874,,0.8447053569058577,5,
在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,0.8325522541999817,0.6971307992935181,1.0,0.673973798751831,,0.8009142130613327,5,
針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,0.8140149116516113,0.7700395981470743,1.0,0.8061901926994324,,0.8475611756245295,5,
