問題,標準答案,LLM答案,LLM答案路徑
根據此規範，內部控制制度的設計應考量哪五個控制因素？,應考量五項控制因素：控制環境、風險評估、控制作業、資訊及溝通、監督。,"根據提供的參考資料，內部控制制度的設計應考量以下五個控制因素：

1. 控制環境
2. 風險評估
3. 控制作業
4. 資訊及溝通
5. 監督",~內部控制制度總則(114.04.11修)--FOREWORD.md | 二、 > (一) | p.1-2 | all_node | node=(一) || 1.FCM內控-總則---114.04.md | 二、 > (一) | p.1-1 | all_node | node=(一) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 | p.7-7 | all_node | node=五、
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,例如可列舉：訂定依據、內部控制制度之定義/通過程序/設計暨執行準則、內部控制之組成要素。其餘還包括公司組織結構與部門職掌、內部稽核作業適用範圍等。,"證券商在訂定內部控制制度時的「總則」部分至少應敘明以下三項事項：

1. 各證券商自訂之內部控制制度的作業程序、控制重點及內部稽核實施細則至少應包括本標準規範所訂內容。
2. 應視公司本身經營狀況自行增列相關內容，但不得違反相關法令、規章或集保作業手冊等規定。
3. 应即配合檢討、修正其內部控制制度內容，以確保制度之完整性及有效性。",~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 | p.3-3 | all_node | node=三、 || 1.FCM內控-總則---114.04.md | 三、 | p.2-2 | all_node | node=三、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 二、 > (二) | p.2-2 | all_node | node=(二)
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,應以明確、客觀程序遴選，先做資訊委外可行性分析，並確認供應商之保密切結、資安事件通報處理責任、第三方重大異常通知、以及相關資安與品質能力。,"期貨業在評選資訊服務供應商時，應遵循的基本原則包括：

- 留存相關文件以記錄評選過程；
- 確認資訊服務供應商保密切結事宜。","「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 | p.3-3 | all_node | node=二、 || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第四條 > 二、 | p.5-5 | all_node | node=二、 || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_1,row=3,col=1,chunk=1"
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,應提供其已取得的資安及品質證照。,第一類期貨商的資訊服務供應商應具備的資安管理證明包括取得的資安及品質證照，或者通過第三方驗證。,「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第四條 > 一、 > (五) > 7. | p.5-5 | all_node | node=7. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (三) | p.3-3 | all_node | node=(三) || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第四條 > 一、 > (五) > 6. | p.4-4 | all_node | node=6.
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,應至少納入官方帳號權限管理、帳號/密碼管理、發布流程、異常事件處理、偽冒帳號監控等控管，以確保官方社群媒體使用安全。,"根據提供的參考資料，期貨業在制定關於經營官方社群媒體的資安控制項目時，至少應包括以下項目：

1. 經事先了解所經營社群媒體的隱私 policy，并定期（每年一次）檢視其變化及評估風險。
2. 在官方網站提供連結至公司外的社群媒體時，應該出現提示視窗告知使用者該連結非公司本身之網站。
3. 標示期貨商名稱、聯絡方式、許可證字號、客戶申訴聯繫方式及處理窗口，以區別為官方經營的社群媒體。

此外，還應建立帳號權限管理機制，對發布內容進行控管與監視，并針對不適當言論及異常事件進行通報或處置。","「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 | p.3-3 | all_node | node=第五條 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_46,row=1,col=3,chunk=1 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (2) > c. | p.10-10 | all_node | node=c."
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,應委由經財團法人全國認證基金會（TAF）認證合格之第三方檢測實驗室進行並通過資安檢測。,根據提供的參考資料，行動應用程式（App）在初次上架前及每年應委由財團法人全國認證基金會(TAF)認證合格的第三方檢測實驗室進行並完成通過資安檢測。檢測範圍以經濟部工業局委託執行單位「行動應用資安聯盟」公布之行動應用程式基本資安檢測基準項目為准。,"8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_38,row=1,col=3,chunk=4 || 「新興科技資通安全自律規範」完整條文-114.05.md | 第六條 > 三、 > （三） > 1. | p.4-4 | all_node | node=1. || 1110921新興科技資通安全自律規範及修正對照表.md | 第六條 > 三、 > (三) > 1. | p.3-3 | all_node | node=1."
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,應每半年檢視一次 DMZ 的防火牆規則，並定期檢視高風險設定及長期無流量規則的必要性。,根據參考資料，期貨業在網路區域劃分方面需每半年檢視DMZ區的防火牆規則，并留存相關檢查紀錄。但對於如何處理DMZ區的防火牆規則，并未提供更多的指引或示例。,「網路安全防護自律規範」完整條文.md | 第三條 > 二、 > (二) | p.2-2 | all_node | node=(二) || 金融機構資通安全防護基準.md | 第十三條 > 一、 | p.6-6 | all_node | node=一、 || 「網路安全防護自律規範」完整條文.md | 第五條 > 一、 > (三) | p.4-4 | all_node | node=(三)
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,應包括：使用加密通訊協定、不得將密碼記錄於工具軟體內、建立授權機制、定義允許連線之遠端設備、加強身分認證、留存操作紀錄並定期覆核。,"針對遠端連線管理，期貨業應訂定的管理辦法中至少包含以下安全控管措施：

1. 使用限制
2. 組態需求
3. 連線需求
4. 多因子身分驗證機制
5. 加密連線
6. 最小授權原則
7. 數據留存完整使用者操作稽核軌跡
8. 監控與警示異常操作行為
9. 执行安全性漏洞更新

這些措施需要由權責主管定期覆核相關紀錄。",「網路安全防護自律規範」完整條文.md | 第五條 > 三、 > (一) | p.4-4 | all_node | node=(一) || 發函附件：網路安全防護自律規範111.12.23.md | 第五條 > 三、 > (一) | p.4-4 | all_node | node=(一) || 「網路安全防護自律規範」完整條文.md | 第四條 > 一、 > (三) | p.3-3 | all_node | node=(三)
根據此總則，內部稽核的主要目的為何？,內部稽核的主要目的，在於評估並改善治理、風險管理及內部控制流程之有效性，提供確信與諮詢功能。,根據提供的參考資料，內部稽核的主要目的是協助董事會及經理人檢查及覆核內部控制制度的缺失，并衡量營運的效果及效率。此外，內部稽核還需適時提供改進建議，確保內部控制制度得以持續有效實施，并作為檢討修正內部控制制度的依據。,1.FCM內控-總則---114.04.md | 三、 > (八) | p.2-2 | all_node | node=(八) || 1.FCM內控-總則---114.04.md | 十一、 | p.9-9 | all_node | node=十一、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (八) | p.4-4 | all_node | node=(八)
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,國內分支機構至少每半年查核一次；國外分支機構至少每年查核一次。,"根據參考資料1和2的內容，總公司對其分支機構進行內部稽核作業的週期規定如下：

- 每半年至少查核一次每家分公司；
- 盧克文指出，對於國內的分支機構，每半年檢查一次；對於國外的分支機構，則是每年檢查一次。

這表明總公司的稽核工作頻率有所不同：對國內分支機構為每半年一次，而對國外分支機構則為每年一次。",1.FCM內控-總則---114.04.md | 十四、 > (四) | p.11-11 | all_node | node=(四) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十一、 > (四) | p.18-18 | all_node | node=(四) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十五、 > (三) > 2. > (1) | p.27-28 | all_node | node=(1)
在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,應說明期貨商品之性質、交易條件、可能面臨之風險；並詳盡告知追加保證金通知方式、追繳時限、代為沖銷時點與方式、損害賠償責任歸屬、交易糾紛處理方式、違約客戶認定標準等。,"在辦理開戶手續時，業務人員應向委託人說明以下重要內容以落實風險預告程序：

1. 各種期貨商品的性質。
2. 交易條件。
3. 可能面臨的风险。

此外，還需交付書面之風險預告書並由雙方簽署。","2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,row=1,col=3,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_68,row=1,col=3,chunk=2 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_22,row=1,col=3,chunk=4"
針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,應依高齡客戶金融服務自律規則建立較高風險客戶之監控與強化持續監督機制，包括以風險基礎方法建立帳戶與交易監控政策、參數與預警處理程序，並對高風險客戶加強持續監督。,"針對高齡客戶（年滿65歲）提供金融服務時，期貨商應建立以下特殊的交易監控或強化機制：

1. 建立適用高齡客戶的交易監控機制，以早識異常交易；
2. 建立加強查核機制，及早辨識異常交易。

公司對此類客戶提供金融服務時，還需依規定進行KYC作業，設計風險屬性評估機制，有效評估該高齡客戶是否具有弱點及其財務特性。","2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=3,chunk=6 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=2,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=3,chunk=1"
在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,這四類單位之人員與作業應各自獨立，不得混同辦理。,"根據參考資料，採購、驗收、會計與出納單位的職能應各自獨立配置。具體來說：

- 經核准的請(訂)購單由申請單位填寫。
- 貨物在收到並確認合格後，由負責驗收的單位進行驗收。
- 驗收合格的商品憑證轉交會計部門，由會計人員進行審核和入庫登記。
- 最終，經核准後的單據送至出納單位進行付款。

這樣可以確保每一環節的操作獨立且不受其他環節干擾。","3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_1,row=1,col=3,chunk=2 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_2,row=1,col=2,chunk=1 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_1,row=1,col=2,chunk=1"
零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,零用金應作為小額、零星支出之便捷支付用途；經管人員應專責保管、依規定核銷、定期補足並留存紀錄，不得與一般採購付款程序混同。,零用金的設立目的為以滿足零星購置或緊急小額支付的需求。對於零用金的經管人員職責，需要由不同的人員來擔任，確保保管、運用及報銷工作能夠獨立進行，避免利益衝突。在請款時，需填寫支付證明單據並附上相關憑證（若無憑證則需詳述理由），經權責主管核准後，在公司規定的金額內向指定人員領取零用金。,"3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=2,chunk=1 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=3,chunk=4 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=3,chunk=1"
