id,question,response_relevancy,faithfulness,context_precision,context_recall,consistency,overall_score,retrieved_context_count,missing_inputs
根據此規範，內部控制制度的設計應考量哪五個控制因素？,根據此規範，內部控制制度的設計應考量哪五個控制因素？,0.7894184589385986,0.7476688623428345,1.0,0.7424290180206299,,0.8198790848255157,5,
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,0.8446066975593567,0.9375729560852051,1.0,0.6832238733768463,,0.866350881755352,5,
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,0.8281850218772888,0.8328985571861267,1.0,0.7913463115692139,,0.8631074726581573,5,
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,0.8372752666473389,0.723188042640686,1.0,0.6578137278556824,,0.8045692592859268,5,
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,0.8478151559829712,0.7172316710154215,1.0,0.7394659519195557,,0.8261281947294871,5,
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,0.8168414831161499,0.945311427116394,1.0,0.8326678276062012,,0.8987051844596863,5,
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,0.7412590980529785,0.6556467413902283,1.0,0.6489410400390625,,0.7614617198705673,5,
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,0.8182226419448853,0.577849268913269,1.0,0.7297571897506714,,0.7814572751522064,5,
根據此總則，內部稽核的主要目的為何？,根據此總則，內部稽核的主要目的為何？,0.7365134954452515,0.9286078214645386,1.0,0.8819282650947571,,0.8867623955011368,5,
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,總公司對其分支機構進行內部稽核作業的週期有何具體規定？,0.8003373742103577,0.7145354350407919,1.0,0.7057746052742004,,0.8051618536313375,5,
在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,0.8429007530212402,0.6803166468938192,1.0,0.7236701846122742,,0.8117218961318334,5,
針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,0.8482452630996704,0.8108251094818115,1.0,0.7980450987815857,,0.8642788678407669,5,
在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,0.8101087808609009,0.7213636755943298,1.0,0.6328588724136353,,0.7910828322172165,5,
零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,0.7767395973205566,0.7849422693252563,1.0,0.6970399618148804,,0.8146804571151733,5,
根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,0.7535532712936401,0.7243004441261292,1.0,0.8036601841449738,,0.8203784748911858,5,
在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,0.7794272899627686,0.7597893923521042,0.8875,0.6279408931732178,,0.7636643938720227,5,
期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,0.8081715703010559,0.7881181836128235,1.0,0.6852143406867981,,0.8203760236501694,5,
根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,0.7161797285079956,0.7351275086402893,1.0,0.8166255950927734,,0.8169832080602646,5,
取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,0.7983822822570801,0.7218129485845566,0.4777777777777777,0.7124355435371399,,0.6776021380391386,5,
針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,0.8153057098388672,0.7627952694892883,1.0,0.6716729998588562,,0.8124434947967529,5,
根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,0.7474745512008667,0.905870795249939,1.0,0.8174351453781128,,0.8676951229572296,5,
在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,0.851576030254364,0.8512324690818787,1.0,0.862539529800415,,0.8913370072841644,5,
針對「資訊安全政策」，規範要求公司應至少多久評估一次？,針對「資訊安全政策」，規範要求公司應至少多久評估一次？,0.8405373692512512,0.8650391697883606,1.0,0.8090545535087585,,0.8786577731370926,5,
在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,0.7808058261871338,0.6893559455871582,1.0,0.6626309553782145,,0.7831981817881266,5,
在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,0.7890392541885376,0.7805157899856567,1.0,0.7003251910209656,,0.81747005879879,5,
針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,0.7666332721710205,0.7275724768638611,1.0,0.8575595319271088,,0.8379413202404976,5,
根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,0.7887041568756104,0.8691940903663635,1.0,0.6818566024303436,,0.8349387124180794,5,
針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,0.8380850553512573,0.8390239775180817,1.0,0.6372493803501129,,0.828589603304863,5,
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,0.7863099575042725,0.7948141396045685,1.0,0.8141438364982605,,0.8488169834017754,5,
針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,0.8324482440948486,0.7331623832384745,1.0,0.7428808212280273,,0.8271228621403376,5,
證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,0.8278034925460815,0.7409677803516388,1.0,0.6896048486232758,,0.814594030380249,5,
證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,0.8246043920516968,0.7947733402252197,1.0,0.7717903852462769,,0.8477920293807983,5,
證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,0.8534218072891235,0.7038573622703552,1.0,0.6645917892456055,,0.8054677397012711,5,
針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,0.7674766182899475,0.6334828853607177,1.0,0.7059962749481201,,0.7767389446496964,5,
根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,0.80653977394104,0.7121124118566513,1.0,0.7671312391757965,,0.821445856243372,5,
對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,0.8175018429756165,0.7620728611946106,1.0,0.8592861294746399,,0.8597152084112167,5,
金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,0.8393181562423706,0.6796866208314896,1.0,0.6196671575307846,,0.7846679836511612,5,
針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,0.828566312789917,0.8341680367787679,1.0,0.6951167980829874,,0.8394627869129181,5,
在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,0.7901753187179565,0.7736096878846487,1.0,0.6739737391471863,,0.8094396864374479,5,
針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,0.8088275194168091,0.7713709870974222,1.0,0.8061901926994324,,0.8465971748034159,5,
銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？,銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？,0.8296316862106323,0.7595953941345215,1.0,0.8136467933654785,,0.8507184684276581,5,
根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？,根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？,0.8709591627120972,0.7415959239006042,1.0,0.8266531229019165,,0.8598020523786545,5,
行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？,行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？,0.8335497975349426,0.6867124438285828,1.0,0.7016798853874207,,0.8054855316877365,5,
針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？,針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？,0.7936314344406128,0.7805807292461395,1.0,0.6996631026268005,,0.8184688165783882,5,
根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？,根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？,0.8394553065299988,0.7498734295368195,1.0,0.7473284602165222,,0.8341642990708351,5,
針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？,針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？,0.8323297500610352,0.6488358378410339,1.0,0.8031150102615356,,0.8210701495409012,5,
根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？,根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？,0.8467515707015991,0.7869168519973755,1.0,0.7031070590019226,,0.8341938704252243,5,
第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？,第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？,0.7992006540298462,0.791042685508728,1.0,0.7609889507293701,,0.8378080725669861,5,
規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？,規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？,0.8493108153343201,0.7769288420677185,1.0,0.7657871842384338,,0.8480067104101181,5,
金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？,金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？,0.8430628180503845,0.7821782231330872,1.0,0.7423877716064453,,0.8419072031974792,5,
根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？,根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？,0.861878514289856,0.874780535697937,1.0,0.877193808555603,,0.903463214635849,5,
採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？,採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？,0.8579702973365784,0.6929047902425131,1.0,0.7293525040149689,,0.8200568978985151,5,
根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？,根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？,0.7712327241897583,0.69823157787323,0.8875,0.6650645434856415,,0.7555072113871575,5,
金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？,金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？,0.8537276983261108,0.6417736411094666,1.0,0.7039747536182404,,0.7998690232634544,5,
根據第二條，保險業經營的「行動服務」具體包含哪四項業務？,根據第二條，保險業經營的「行動服務」具體包含哪四項業務？,0.8185042142868042,0.8029413223266602,1.0,0.6952297687530518,,0.829168826341629,5,
業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？,業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？,0.8529860377311707,0.6558980544408163,1.0,0.7395544648170471,,0.8121096392472585,5,
根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？,根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？,0.7881002426147461,0.6656081676483154,1.0,0.8690809011459351,,0.8306973278522491,5,
第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？,第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？,0.707404613494873,0.6698871850967407,1.0,0.6344039142131805,,0.7529239282011986,5,
根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？,根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？,0.7928545475006104,0.8004260063171387,1.0,0.7876684665679932,,0.8452372550964355,5,
對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？,對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？,0.8178900480270386,0.663541575272878,1.0,0.5907503962516785,,0.7680455048878988,5,
委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？,委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？,0.7804380059242249,0.8861466646194458,1.0,0.8384413719177246,,0.8762565106153488,5,
針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？,針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？,0.8167012333869934,0.7884669701258341,1.0,0.6727138757705688,,0.8194705198208491,5,
在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？,在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？,0.7122079133987427,0.8614980578422546,1.0,0.6577414274215698,,0.8078618496656418,5,
規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？,規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？,0.8106804490089417,0.7184925675392151,1.0,0.8051496148109436,,0.8335806578397751,5,
根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？,根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？,0.7958793640136719,0.6570056080818176,1.0,0.7740537524223328,,0.8067346811294556,5,
若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？,若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？,0.8567861318588257,0.742114245891571,1.0,0.7290422320365906,,0.8319856524467468,5,
採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？,採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？,0.8425894975662231,0.8127873837947845,0.8055555555555555,0.6112725734710693,,0.7680512525969081,5,
規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？,規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？,0.8245065808296204,0.6618159612019857,1.0,0.6320272386074066,,0.7795874451597532,5,
在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？,在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？,0.8307303786277771,0.8054131865501404,1.0,0.8844318389892578,,0.8801438510417938,5,
