問題,標準答案,LLM答案,LLM答案路徑
根據此規範，內部控制制度的設計應考量哪五個控制因素？,應考量五項控制因素：控制環境、風險評估、控制作業、資訊及溝通、監督。,"根據提供的參考資料，內部控制制度的設計應考量以下五個控制因素：

1. 控制環境：包括事業的誠信與道德價值、董事會及監察人治理監督責任、組織結構、權責分派、人力資源政策、績效衡量及獎懲等。

2. 風險評估：確立各項目標，並考慮事業目標之適合性以及外部環境和商業模式的影響。

3. 控制作業：依據風險評估結果采取適當的政策與程序，將風險控制在可承受範圍內。",~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (一) | p.7-7 | leaf | context=五、 > (一) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (二) | p.7-7 | leaf | context=五、 > (二) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 五、 > (三) | p.7-8 | leaf | context=五、 > (三)
證券商在訂定內部控制制度時，其「總則」部分至少應敘明哪些事項（請列舉三項）？,例如可列舉：訂定依據、內部控制制度之定義/通過程序/設計暨執行準則、內部控制之組成要素。其餘還包括公司組織結構與部門職掌、內部稽核作業適用範圍等。,"證券商在訂定內部控制制度時，其「總則」部分至少應敘明以下三件事項：

1. 內部控制之組成要素
2. 稽核人員應注意事項
3. 自行評估及內部控制制度聲明書",~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (三) | p.3-4 | leaf | context=三、 > (三) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (十二) | p.4-4 | leaf | context=三、 > (十二) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 三、 > (十四) | p.4-5 | leaf | context=三、 > (十四)
期貨業在評選資訊服務供應商時，應遵循哪些基本原則？,應以明確、客觀程序遴選，先做資訊委外可行性分析，並確認供應商之保密切結、資安事件通報處理責任、第三方重大異常通知、以及相關資安與品質能力。,"期貨業在評選資訊服務供應商時，應遵循的基本原則包括：

1. 資訊服務供應商的維運能力（如財務能力、專業能力和經驗實績等）；
2. 針對第一類期貨商的信息技术服务提供商應具備完善的资通安全管理措施或通過第三方验证。",「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (三) | p.3-3 | leaf | context=第三條 > 二、 > (三) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (一) | p.3-3 | leaf | context=第三條 > 二、 > (一) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 二、 > (二) | p.3-3 | leaf | context=第三條 > 二、 > (二)
規範中提到，第一類期貨商的資訊服務供應商應具備何種資安管理證明？,應提供其已取得的資安及品質證照。,根據提供的參考資料，第一類期貨商的資訊服務供應商應具備資安及品質證照。具体来说，应提供取得的资安及品质证照。,「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第四條 > 一、 > (五) > 7. | p.5-5 | leaf | context=第四條 > 一、 > (五) > 7. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 四、 > (二) | p.3-3 | leaf | context=第三條 > 四、 > (二) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第三條 > 四、 > (三) | p.3-3 | leaf | context=第三條 > 四、 > (三)
針對「社群媒體安全控管」，期貨業應訂定的規範中，關於經營官方社群媒體應包含哪些資安控管項目？,應至少納入官方帳號權限管理、帳號/密碼管理、發布流程、異常事件處理、偽冒帳號監控等控管，以確保官方社群媒體使用安全。,"根據提供的參考資料，期貨業在經營官方社群媒體時應訂定的資安控制項目包括：

1. 建立帳號權限管理機制，對發布內容進行控管；
2. 檢視所經營的社群媒體隱私政策並評估其風險。

這些是與社群媒體安全相關的重要項目。",「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 三、 > （三） | p.3-3 | leaf | context=第五條 > 三、 > （三） || 「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 三、 > （一） | p.3-3 | leaf | context=第五條 > 三、 > （一） || 「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 二、 | p.3-3 | leaf | context=第五條 > 二、
根據規範，行動應用程式（App）在初次上架前及每年應委由哪種機構進行資安檢測？,應委由經財團法人全國認證基金會（TAF）認證合格之第三方檢測實驗室進行並通過資安檢測。,根據參考資料，行動應用程式（App）在初次上架前及每年應委由經財團法人全國認證基金會(TAF)認證合格的第三方檢測實驗室進行資安檢測。,"8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_38,row=1,col=3,chunk=4 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.28.3.1 | p.15-16 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_3,row=1,col=3,chunk=1 || 保險業辦理資訊安全防護自律規範-2.md | 5.3.1 | p.1-2 | table_chunk | table_id=保險業辦理資訊安全防護自律規範-2_table_1,row=1,col=3,chunk=1"
在網路區域劃分方面，規範要求期貨業應如何處理 DMZ 區的防火牆規則？,應每半年檢視一次 DMZ 的防火牆規則，並定期檢視高風險設定及長期無流量規則的必要性。,期貨業在處理DMZ區的防火牆規則時，應每半年進行檢查並保存相關記錄。此外，對高風險設定需定期評估其必要性，并根據需要調整或停用這些規則。公司還應確認六個月內無流量的防火牆是否仍然必要，以及對於已下線的資通系統，在六個月內適當地調整或停止使用這些規則。,「網路安全防護自律規範」完整條文.md | 第三條 > 二、 > (二) | p.2-2 | leaf | context=第三條 > 二、 > (二) || 金融機構資通安全防護基準.md | 第十三條 > 一、 | p.6-6 | leaf | context=第十三條 > 一、 || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (1) > b. | p.3-3 | leaf | context=第7條 > 7、 > (1) > b.
針對遠端連線管理，期貨業應訂定的管理辦法中應包含哪些安全控管措施？,應包括：使用加密通訊協定、不得將密碼記錄於工具軟體內、建立授權機制、定義允許連線之遠端設備、加強身分認證、留存操作紀錄並定期覆核。,"針對遠端連線管理，期貨業應訂定的管理辦法中應包含的安全控制措施包括：

1. 使用限制（如多因子身分驗證）；
2. 需求組態；
3. 連接需求；
4. 增加加密層級以保護數據傳輸；
5. 执行最小授權原則；
6. 獨留完整使用者操作的稽核軌跡；
7. 監控與警示異常操作行為；
8. 調整防火牆設置，如使用封閉非必要埠號；
9. 建立阻擋惡意連線的安全機制；
10. 制定安全連接機制，以最小權限原則設定規則。

以上措施均需留存相關紀錄並由權責主管定期審核。",「網路安全防護自律規範」完整條文.md | 第五條 > 三、 > (一) | p.4-4 | leaf | context=第五條 > 三、 > (一) || 「網路安全防護自律規範」完整條文.md | 第五條 > 三、 > (二) | p.4-4 | leaf | context=第五條 > 三、 > (二) || 「新興科技資通安全自律規範」完整條文-114.05.md | 第七條 > 四、 | p.4-4 | leaf | context=第七條 > 四、
根據此總則，內部稽核的主要目的為何？,內部稽核的主要目的，在於評估並改善治理、風險管理及內部控制流程之有效性，提供確信與諮詢功能。,根據提供的參考資料，內部稽核的主要目的為協助董事會及經理人檢查及覆核內部控制制度的缺失，并衡量營運的效果及效率，適時提供改進建議，以確保內部控制制度得以持續有效實施並作為檢討修正內部控制制度的依據。,1.FCM內控-總則---114.04.md | 十一、 | p.9-9 | leaf | context=十一、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十、 | p.14-15 | leaf | context=十、 || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十二、 > (三) > 4. | p.20-20 | leaf | context=十二、 > (三) > 4.
總公司對其分支機構進行內部稽核作業的週期有何具體規定？,國內分支機構至少每半年查核一次；國外分支機構至少每年查核一次。,"總公司對分支機構進行內部稽核作業的週期規定如下：

1. 每家國內分支機構，每半年至少查核一次；
2. 每家國外分支機構，每年至少查核一次。

此規定由總公司的內部控制制度所確定。",~內部控制制度總則(114.04.11修)--FOREWORD.md | 十一、 > (四) | p.18-18 | leaf | context=十一、 > (四) || 1.FCM內控-總則---114.04.md | 十四、 > (四) | p.11-11 | leaf | context=十四、 > (四) || ~內部控制制度總則(114.04.11修)--FOREWORD.md | 十五、 > (三) > 2. > (2) > iv. | p.29-29 | leaf | context=十五、 > (三) > 2. > (2) > iv.
